ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-05,3.757122039794922,2.0361765351095684,13.5615275037404,0.07138555947278236,0.10829065613925692,-0.03690509666647457,0.7435897435897436,0.9230769230769231,0.8692307692307693,86,91,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-06,3.895473957061768,3.682390824717463,13.866142784506863,0.3093625485236937,0.2986412623132313,0.010721286210462422,0.7948717948717948,0.8461538461538461,0.8307692307692307,82,84,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-07,3.840039014816284,-1.4230602708815598,15.150123448468534,0.16906699962626237,0.13400254011420554,0.035064459512056834,0.7948717948717948,0.8461538461538461,0.8307692307692307,82,84,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-08,4.227497100830078,10.08995180827168,27.933974486388923,0.2859850868036278,0.15739732966234454,0.12858775714128323,0.8205128205128205,0.8717948717948718,0.8564102564102564,85,86,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-09,4.208756923675537,-0.4432924898011503,28.979156666830576,0.31810955938233554,0.1480065622364528,0.17010299714588273,0.8461538461538461,0.8974358974358975,0.882051282051282,87,89,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-05-10,4.286561965942383,1.84864661176245,30.32337543746624,0.36116634645937196,0.1713921069226536,0.18977423953671835,0.8717948717948718,0.8974358974358975,0.8897435897435897,88,89,88
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-21,0.3773500025272369,,22.178395754915602,-0.19830970766063427,-0.1457219776034634,-0.05258773005717088,0.717948717948718,0.9743589743589743,0.8974358974358974,89,96,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-22,0.3662300109863281,-2.9468640430461157,23.330902380036434,-0.19837758193875932,-0.12585560946744945,-0.07252197247130987,0.6410256410256411,0.9487179487179487,0.8564102564102564,85,94,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-23,0.3624539971351623,-1.0310498151138159,18.14301084015366,-0.20012272476603543,-0.125524418635506,-0.07459830613052942,0.6666666666666666,0.9487179487179487,0.864102564102564,86,94,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-24,0.3595710098743438,-0.7954077713601237,20.000729273084605,-0.21586578965548908,-0.13079705780395778,-0.0850687318515313,0.6153846153846154,0.9487179487179487,0.8487179487179487,84,94,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-25,0.3502210080623626,-2.6003213705266925,13.034681092455557,-0.1808155618642311,-0.10349975147194668,-0.07731581039228441,0.5897435897435898,0.8717948717948718,0.7871794871794872,78,86,87
