ticker,exchange,latest_close,last_session,adtv7,history_rows,outstanding_shares,listed_volume,cached_at,shares_reference,market_cap_est,market_cap_pct,adtv7_pct,combined_score,universe_rank,selection_source,selection_logic
HAH,HOSE,53.4,2026-04-21,598571.4285714285,80,185840401,169,2026-04-21 21:04:56,185840401,9923877413.4,0.8411214953271028,0.8021806853582555,0.8216510903426791,97,KBS,50% market_cap_est + 50% 7d_adtv
NVB,HNX,11.0,2026-04-21,304928.5714285714,80,1924632751,1928,2026-04-21 21:08:42,1924632751,21170960261.0,0.9065420560747663,0.735202492211838,0.8208722741433021,98,KBS,50% market_cap_est + 50% 7d_adtv
ANV,HOSE,24.95,2026-04-21,879871.4285714285,80,266255750,267,2026-04-21 21:00:34,266255750,6643080962.5,0.8068535825545171,0.8348909657320872,0.8208722741433021,99,KBS,50% market_cap_est + 50% 7d_adtv
PAN,HOSE,32.65,2026-04-21,801014.2857142857,80,208894750,216,2026-04-21 21:08:57,208894750,6820413587.5,0.8084112149532711,0.8317757009345794,0.8200934579439252,100,KBS,50% market_cap_est + 50% 7d_adtv
GEG,HOSE,15.0,2026-04-21,878385.7142857143,80,414804371,358,2026-04-21 21:04:31,414804371,6222065565.0,0.7959501557632399,0.8333333333333334,0.8146417445482866,101,KBS,50% market_cap_est + 50% 7d_adtv
DSE,HOSE,23.7,2026-04-21,416400.0,80,428249806,428,2026-04-21 21:03:36,428249806,10149520402.199999,0.8457943925233645,0.7725856697819314,0.809190031152648,102,KBS,50% market_cap_est + 50% 7d_adtv
VAB,HOSE,10.3,2026-04-21,531985.7142857143,80,816360672,816,2026-04-21 21:14:32,816360672,8408514921.6,0.82398753894081,0.7897196261682243,0.8068535825545171,103,KBS,50% market_cap_est + 50% 7d_adtv
BMP,HOSE,151.0,2026-04-21,325985.71428571426,80,81860938,82,2026-04-21 21:01:18,81860938,12361001638.0,0.8629283489096573,0.7492211838006231,0.8060747663551402,104,KBS,50% market_cap_est + 50% 7d_adtv
VTP,HOSE,69.7,2026-04-21,488000.0,80,121783042,122,2026-04-21 21:16:12,121783042,8488278027.400001,0.8271028037383178,0.780373831775701,0.8037383177570094,105,KBS,50% market_cap_est + 50% 7d_adtv
SZC,HOSE,28.35,2026-04-21,714485.7142857143,80,179985863,180,2026-04-21 21:12:46,179985863,5102599216.05,0.7819314641744548,0.822429906542056,0.8021806853582554,106,KBS,50% market_cap_est + 50% 7d_adtv
KDC,HOSE,47.5,2026-04-21,297114.28571428574,80,289806316,290,2026-04-21 21:06:35,289806316,13765800010.0,0.8722741433021807,0.7305295950155763,0.8014018691588785,107,KBS,50% market_cap_est + 50% 7d_adtv
CTS,HOSE,26.9,2026-04-21,623885.7142857143,80,212693438,213,2026-04-21 21:02:45,212693438,5721453482.2,0.7897196261682243,0.8115264797507789,0.8006230529595015,108,KBS,50% market_cap_est + 50% 7d_adtv
SCR,HOSE,6.13,2026-04-21,1901671.4285714286,80,430595036,431,2026-04-21 21:11:23,430595036,2639547570.68,0.7165109034267912,0.881619937694704,0.7990654205607477,109,KBS,50% market_cap_est + 50% 7d_adtv
KOS,HOSE,38.6,2026-04-21,420057.14285714284,80,216481335,216,2026-04-21 21:06:49,216481335,8356179531.0,0.8193146417445483,0.7741433021806854,0.7967289719626168,110,KBS,50% market_cap_est + 50% 7d_adtv
BSI,HOSE,36.15,2026-04-21,346185.71428571426,80,245365943,245,2026-04-21 21:01:23,245365943,8869978839.449999,0.8317757009345794,0.7554517133956387,0.793613707165109,111,KBS,50% market_cap_est + 50% 7d_adtv
TCM,HOSE,23.7,2026-04-21,1324200.0,80,112038755,112,2026-04-21 21:12:59,112038755,2655318493.5,0.7180685358255452,0.8691588785046729,0.793613707165109,112,KBS,50% market_cap_est + 50% 7d_adtv
DPG,HOSE,42.5,2026-04-21,612685.7142857143,80,118587096,119,2026-04-21 21:03:24,118587096,5039951580.0,0.780373831775701,0.8052959501557633,0.7928348909657321,113,KBS,50% market_cap_est + 50% 7d_adtv
TNG,HNX,22.1,2026-04-21,1216342.857142857,80,128731266,129,2026-04-21 21:13:50,128731266,2844960978.6000004,0.7242990654205608,0.8613707165109035,0.7928348909657321,114,KBS,50% market_cap_est + 50% 7d_adtv
VDS,HOSE,14.65,2026-04-21,635071.4285714285,80,272000000,272,2026-04-21 21:14:53,272000000,3984800000.0,0.7663551401869159,0.8177570093457944,0.7920560747663552,115,KBS,50% market_cap_est + 50% 7d_adtv
PET,HOSE,46.9,2026-04-21,569242.8571428572,80,106722131,107,2026-04-21 21:09:12,106722131,5005267943.9,0.778816199376947,0.7990654205607477,0.7889408099688473,116,KBS,50% market_cap_est + 50% 7d_adtv
SIP,HOSE,60.1,2026-04-21,207885.7142857143,80,242112943,242,2026-04-21 21:12:01,242112943,14550987874.300001,0.8769470404984424,0.6962616822429907,0.7866043613707165,117,KBS,50% market_cap_est + 50% 7d_adtv
DCL,HOSE,36.0,2026-04-21,1162614.2857142857,80,73041030,73,2026-04-21 21:02:59,73041030,2629477080.0,0.7149532710280374,0.8566978193146417,0.7858255451713396,118,KBS,50% market_cap_est + 50% 7d_adtv
CMG,HOSE,28.4,2026-04-21,349257.14285714284,80,232900908,233,2026-04-21 21:02:15,232900908,6614385787.2,0.8052959501557633,0.7585669781931464,0.7819314641744548,119,KBS,50% market_cap_est + 50% 7d_adtv
CTR,HOSE,86.1,2026-04-21,288957.14285714284,80,114385879,114,2026-04-21 21:02:44,114385879,9848624181.9,0.839563862928349,0.7227414330218068,0.7811526479750779,120,KBS,50% market_cap_est + 50% 7d_adtv
